INSTALLED,UPGRADED,Comfort_Level
2011,NA,High Comfort
2018,NA,High Comfort
2018,NA,High Comfort
2018,2021,Low Comfort
2018,NA,Moderate Comfort
2018,NA,Low Comfort
2018,NA,Moderate Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2018,NA,Low Comfort
2001,2017,Low Comfort
2002,NA,Moderate Comfort
2002,2021,Moderate Comfort
2002,NA,High Comfort
2002,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2005,2020,Low Comfort
2018,NA,High Comfort
2018,NA,High Comfort
2018,NA,Low Comfort
2018,NA,High Comfort
2011,NA,High Comfort
2002,2006,High Comfort
2002,2018,Moderate Comfort
2003,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2017,NA,Moderate Comfort
2001,NA,Low Comfort
2001,2021,Low Comfort
2018,NA,Moderate Comfort
2001,NA,Moderate Comfort
2001,2020,Moderate Comfort
2001,2020,Moderate Comfort
2001,2020,Moderate Comfort
2001,2020,Moderate Comfort
2001,2020,Moderate Comfort
2018,NA,Low Comfort
2006,2018,Low Comfort
2006,NA,Moderate Comfort
2003,NA,High Comfort
2003,2020,Low Comfort
2003,2020,Low Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2020,NA,High Comfort
2004,2019,Moderate Comfort
2004,NA,Moderate Comfort
2004,2021,High Comfort
2004,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2011,NA,High Comfort
2004,NA,High Comfort
2004,NA,High Comfort
2004,NA,Moderate Comfort
2004,NA,High Comfort
2004,2021,Low Comfort
2004,NA,High Comfort
2011,2015,Low Comfort
2011,2015,Low Comfort
2011,2015,High Comfort
2011,2015,High Comfort
2011,2015,High Comfort
2012,NA,Low Comfort
2005,NA,Low Comfort
2005,NA,Moderate Comfort
2005,2008,Moderate Comfort
2005,NA,Moderate Comfort
2005,2016,Moderate Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2012,NA,High Comfort
2013,NA,Moderate Comfort
2006,NA,Low Comfort
2006,NA,Low Comfort
2006,NA,Low Comfort
2006,NA,Low Comfort
2006,2018,Moderate Comfort
2013,NA,High Comfort
2013,NA,High Comfort
2013,NA,Low Comfort
2013,NA,Low Comfort
2013,NA,Moderate Comfort
2013,2019,Moderate Comfort
2003,2020,Low Comfort
2007,NA,Moderate Comfort
2019,2020,Low Comfort
2001,NA,Low Comfort
2003,2020,Low Comfort
2001,2015,High Comfort
2001,NA,Moderate Comfort
2007,NA,Moderate Comfort
2014,NA,Moderate Comfort
2015,NA,Moderate Comfort
2015,NA,Moderate Comfort
2015,NA,Moderate Comfort
2015,NA,Moderate Comfort
2016,NA,Moderate Comfort
2017,NA,Moderate Comfort
2017,NA,Moderate Comfort
2017,NA,Moderate Comfort
2007,NA,Moderate Comfort
2014,NA,Moderate Comfort
2014,NA,Moderate Comfort
2014,NA,Moderate Comfort
2017,NA,Moderate Comfort
2002,NA,Moderate Comfort
2007,2021,Moderate Comfort
2014,NA,Moderate Comfort
2014,NA,Moderate Comfort
2015,NA,Moderate Comfort
